Dest State,Total_Loads,Covered_Loads,Uncovered_Loads,Uncovered_Ratio,Volume_Score,Ratio_Score,Risk_Score,Risk_Level
SC,9,1,8,0.8888888888888888,46.666666666666664,100.0,73.3,High
PA,27,13,14,0.5185185185185185,86.66666666666667,56.55608214849921,71.6,High
NY,67,51,16,0.23880597014925373,100.0,23.746197920350856,61.9,High
AB,39,28,11,0.28205128205128205,66.66666666666666,28.81881152023332,47.7,High
NS,17,10,7,0.4117647058823529,40.0,44.03401170894898,42.0,High
ON,112,101,11,0.09821428571428571,66.66666666666666,7.254993229519297,37.0,Medium
NC,36,28,8,0.2222222222222222,46.666666666666664,21.800947867298575,34.2,Medium
WA,4,2,2,0.5,6.666666666666667,54.383886255924175,30.5,Medium
ME,7,4,3,0.42857142857142855,13.333333333333334,46.005416384563304,29.7,Medium
QC,42,36,6,0.14285714285714285,33.33333333333333,12.491536899119836,22.9,Medium
VA,27,22,5,0.18518518518518517,26.666666666666668,17.4565560821485,22.1,Medium
VT,6,4,2,0.3333333333333333,6.666666666666667,34.834123222748815,20.8,Medium
OH,31,26,5,0.16129032258064516,26.666666666666668,14.653722672374256,20.7,Medium
CA,11,8,3,0.2727272727272727,13.333333333333334,27.72511848341232,20.5,Medium
MD,12,9,3,0.25,13.333333333333334,25.05924170616114,19.2,Medium
MA,12,10,2,0.16666666666666666,6.666666666666667,15.284360189573462,11.0,Low
MN,110,106,4,0.03636363636363636,20.0,0.0,10.0,Low
NJ,38,36,2,0.05263157894736842,6.666666666666667,1.908206535295585,4.3,Low
WI,14,13,1,0.07142857142857142,0.0,4.113067027758971,2.1,Low
